country,hazard,rp,fa
Brazil,flood,10.0,0.0028663314948840293
Brazil,flood,20.0,0.005507521320834467
Brazil,flood,50.0,0.008762355913800758
Brazil,flood,100.0,0.013001281232431968
Brazil,flood,250.0,0.01911655475454083
Brazil,flood,500.0,0.02350778956865255
Brazil,flood,1000.0,0.033414871129471134
Brazil,flood,1500.0,0.03514799581842638
Brazil,flood,2000.0,0.037682528699170964
Brazil,flood,4000.0,0.04522193690846058
Brazil,flood,5000.0,0.04768361276876902
Brazil,flood,30000.0,0.06168217596054345
Brazil,tsunami,100.0,0.0
Brazil,tsunami,250.0,1.8446877996885427e-08
Brazil,tsunami,500.0,3.0399907011003736e-06
Brazil,tsunami,1000.0,1.9674647493082783e-05
Brazil,tsunami,1500.0,2.8902492144987407e-05
Brazil,tsunami,2000.0,0.00010312207994590479
Brazil,tsunami,4000.0,0.0002884679456521263
Brazil,tsunami,5000.0,0.00034068105645661435
Bulgaria,earthquake,0.5,9.04355034810801e-05
Bulgaria,earthquake,1.0,0.00021205933346171938
Bulgaria,earthquake,1.5,0.0003182482966715402
Bulgaria,earthquake,2.0,0.0004293356888717068
Bulgaria,earthquake,3.0,0.0006799763409926484
Bulgaria,earthquake,5.0,0.0012605010398997671
Bulgaria,earthquake,10.0,0.002376877158658228
