country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Maldives,nonpoor,0.8,14315.589365687998,0.55,1.107139147900655,43906.51717252061,0.0007828807458659834,0.40000000000000013
Maldives,poor,0.2,3915.374869248,0.55,0.5714434083973804,11829.84670804238,0.0007828807458659834,0.40000000000000013
Mali,nonpoor,0.8,2257.0945051344997,0.04243126,1.20144347349757,3497.269360329367,0.04338571907454131,0.6000000000000002
Mali,poor,0.2,785.076349612,0.008713539000000001,0.1942261060097188,1252.8773974996489,0.024114158209995625,0.6000000000000002
Mauritania,nonpoor,0.8,4125.984035631151,0.1524401,1.1736891095096638,17301.890191613005,0.03855636320270323,0.6000000000000002
Mauritania,poor,0.2,1357.4666091253998,0.03751141,0.3052435619613448,5806.949316126216,0.042640284696703674,0.6000000000000002
Mauritius,nonpoor,0.8,22627.549083195994,0.4367753,1.139157596986839,77360.29411001671,0.028022575061107655,0.8000000000000003
Mauritius,poor,0.2,7232.996251216,0.2319739,0.4433696120526436,22102.078595912593,0.02874161965988645,0.8000000000000003
Mexico,nonpoor,0.8,19965.921705980247,0.19560479999999997,1.131139987794302,55181.65657383371,0.005817762740743109,0.8000000000000004
Mexico,poor,0.2,4291.936805078999,0.07032508,0.47544004882279145,7793.788057693367,0.005575255778309704,0.8000000000000004
Moldova,nonpoor,0.8,5580.918877590787,0.09047662,1.0924136235484907,22151.05758039515,0.02619366716084096,0.6000000000000002
Moldova,poor,0.2,2398.0027956868494,0.03550953,0.6303455058060375,7699.69867907069,0.02047097208838784,0.6000000000000002
Mongolia,nonpoor,0.8,13013.586501500247,0.4111103,1.0608673360898848,64109.349326468626,0.027644431232496297,0.6000000000000002
Mongolia,poor,0.2,4588.032672998999,0.21726669999999998,0.7565306556404606,16308.054061974031,0.030339758902040624,0.6000000000000002
Montenegro,nonpoor,0.8,17908.966987483127,0.07029512,1.146056223530991,49030.02831948988,0.008600966327008023,0.0
Montenegro,poor,0.2,6654.6981155675,0.02831399,0.4157751058760358,18435.332508725256,0.009961479284029575,0.0
Morocco,nonpoor,0.8,8491.958773511125,0.1725484,1.0893337029875676,31872.037451214284,0.012765201524836343,0.8000000000000004
Morocco,poor,0.2,2361.4003006555,0.05141593,0.6426651880497298,7435.881205176171,0.014559196793342635,0.8000000000000004
Namibia,nonpoor,0.8,11860.748929783987,0.3485483,1.1600212319933696,43377.40600062827,0.010978377099207392,0.8000000000000004
Namibia,poor,0.2,1619.04742371405,0.14453729999999998,0.3599150720265211,4785.847735005943,0.015684206914923175,0.8000000000000004
Nepal,nonpoor,0.8,2622.3027921394496,0.22368110000000002,1.1785376322221561,9596.518704918972,0.024632965575571042,0.4000000000000002
Nepal,poor,0.2,949.4051548421999,0.08169342,0.28584947111137565,3947.922018636627,0.028774045268523826,0.4000000000000002
Netherlands,nonpoor,0.8,53726.27429968799,0.6671163,1.108695878513101,215781.62740554474,0.02118167433742814,1.0
Netherlands,poor,0.2,20736.456747247998,0.485505,0.5652164859475954,70033.84227561299,0.02321746454523971,1.0
Nicaragua,nonpoor,0.8,6099.9993687806245,0.1150786,1.1492460501354718,20467.09121407139,0.024380526252211855,0.6000000000000002
Nicaragua,poor,0.2,1284.2103934275,0.02887823,0.4030157994581129,3883.68825607917,0.02518966334643944,0.6000000000000002
Niger,nonpoor,0.8,1045.3088800110925,0.02122553,1.1564902337807672,4473.908775976028,0.02849766560276947,0.6000000000000002
Niger,poor,0.2,353.72708304062996,0.01784597,0.3740390648769314,1518.3707338526754,0.01583924921885137,0.6000000000000002
Nigeria,nonpoor,0.8,6431.5261056983745,0.3224891,1.2374409657249048,7357.89547155037,0.005586179890896275,0.8000000000000004
Nigeria,poor,0.2,1468.5091319565001,0.1970295,0.05023613710038015,1696.1988035384934,0.005387464363184326,0.8000000000000004
Norway,nonpoor,0.8,72505.00607676974,0.8089857,1.0910894614415285,219762.90873698593,0.0019247334748448358,0.8000000000000003
Norway,poor,0.2,29033.907823920996,0.7495815,0.6356421542338858,70650.19465025373,0.0019247334748448358,0.8000000000000003
Pakistan,nonpoor,0.8,5523.09552266215,0.04381021,1.1873877771086956,14559.331390508974,0.013033146262635962,0.6000000000000002
Pakistan,poor,0.2,2238.4351898013997,0.01694613,0.2504488915652169,6349.072583323152,0.013851876487622978,0.6000000000000002
Panama,nonpoor,0.8,25735.27098707,0.2403679,1.1773641910690498,47787.804212921306,0.006025499182392588,0.6000000000000002
Panama,poor,0.2,3733.6144437200005,0.1483164,0.2905432357238005,6305.769091779772,0.007795030245329937,0.6000000000000002
Papua New Guinea,nonpoor,0.8,3109.0217500368,0.1438,1.0656890296563608,9562.38736366034,0.01547322856636754,0.6000000000000002
Papua New Guinea,poor,0.2,668.3250126528,0.1438,0.7372438813745567,2049.2492543852563,0.016495517959251544,0.6000000000000002
